m1,m10,m100,m1000,m1002,m1003,m1004,m1005,m1006,m1007,m1008,m1009,m101,m1010,m1011,m1012,m1013,m1014,m1015,m1016,m1017,m1018,m1019,m102,m1020,m1021,m1022,m1023,m1024,m1025,m1026,m1027,m1028,m1029,m103,m1030,m1031,m1032,m1033,m1034,m1035,m1036,m1037,m1038,m1039,m104,m1040,m1041,m1042,m1043,m1044,m1046,m1047,m1049,m105,m1050,m1051,m1053,m1054,m1055,m1056,m1057,m1058,m1059,m106,m1060,m1061,m1062,m1063,m1064,m1066,m1067,m1068,m1069,m107,m1070,m1071,m1073,m1076,m1077,m1078,m1079,m108,m1080,m1081,m1082,m1083,m1084,m1085,m1086,m1087,m1088,m1089,m1090,m1091,m1092,m1093,m1094,m1095,m1096
,0.512105534,0.39199995,0.729637137,0.405248774,0.344362207,0.193479262,0.292096843,0.27576196,0.434214025,0.502211623,0.391920691,0.549430857,0.477267703,0.308604642,0.63621225,0.577538607,0.449032722,0.540328151,0.440446343,0.513957411,0.421905637,0.577184977,0.169313229,0.459134279,0.350661094,0.649397078,0.712929276,0.496538333,0.565562619,0.501809614,0.437550656,0.687310207,0.631887985,0.392746071,0.348248746,0.499887799,0.581818397,0.514417742,0.530393074,0.660956798,0.715248525,0.287705616,0.269342052,,0.489250307,,0.58714752,0.548093309,0.273785534,0.533260798,0.557768898,0.497307926,0.446081037,0.410695412,0.566122877,0.53549479,0.409560195,0.608869314,0.255772369,0.427914944,0.541617134,0.259672932,0.463066185,0.799677449,0.627298804,0.449185749,,0.391613918,0.344123858,0.647648394,0.438852965,0.75803332,0.664088043,0.422499221,,0.545764459,0.626582256,0.460470662,0.598947718,0.538385485,0.666635306,0.114601322,0.61863582,0.516628556,0.542886752,0.543275005,0.673096417,0.55263852,0.719765375,0.3469035,0.42593489,0.60526111,0.664942349,0.332618231,0.478613121,0.407508097,0.51035039,0.572956593,0.583447923
0.512105534,,0.547458291,0.490471685,,0.610983022,0.423742467,0.460659052,0.657698949,0.549539503,0.557655344,0.388002825,0.456909467,0.544637436,0.617620143,0.47895599,0.474511709,0.526168067,0.459926373,0.484848353,0.490606399,0.510137927,0.485376308,0.511581652,0.506496584,0.478491673,0.526621015,0.495885479,0.511921444,0.502141661,0.090801355,0.535346116,0.507103086,0.507682447,0.349419964,0.426442332,0.523612057,0.479134653,0.438091684,0.292951818,0.461444999,0.562132393,0.535664783,0.754511944,,0.54140027,,0.437948821,0.59287747,0.398487024,0.210576112,0.598781048,0.490450139,0.537876233,0.461642843,0.496175045,0.475741533,0.565102408,0.440753831,0.560773109,0.380429154,0.350758308,0.521740961,0.44194313,,0.434405488,0.565664531,,0.415763665,0.401286556,0.376385466,0.174717416,0.620197616,0.522484366,0.527215235,,,0.469000317,0.631664951,0.432093492,0.429454687,0.514474394,0.009630679,0.473330353,0.464482705,0.486300789,0.488371558,0.433801575,0.297095592,0.423286143,0.212653548,0.553518731,0.459014372,0.455799504,0.529424393,0.59469865,0.533899894,0.454106493,0.413179149,0.337330739
0.39199995,0.547458291,,0.482964976,,0.836583866,0.629538169,0.568281758,0.811806995,0.488524504,0.778106248,0.528918712,0.505597486,0.476386784,0.374309768,0.343361637,0.49901609,0.430808252,0.677087748,0.622949178,0.412555715,0.596576315,0.326525965,0.629747447,0.688992888,0.788958499,0.352716301,0.44819452,0.743418145,0.362552965,,0.620486571,0.358699874,0.483838536,0.461958115,0.706777151,0.275695841,0.397810623,0.61226302,0.325786393,0.323554975,0.322774445,0.607882366,0.659328527,,0.649672173,,0.431474841,0.605126775,0.495177601,0.693604716,0.855263447,0.493829936,0.661389872,0.50558445,0.470505026,0.591400554,0.501639426,0.58887664,0.683434103,0.089147071,0.44873062,,0.556328237,,0.360587329,0.543589574,,0.594477408,0.643588504,0.184569319,,0.404485742,0.320310381,0.648557234,,,0.410234543,,0.332046111,0.150595176,0.346716841,,0.324403664,0.56000817,0.506132793,0.287779303,0.272284439,0.932428858,0.318592651,,0.649620728,0.340644753,0.30258813,0.7261178,0.51702078,0.547186926,0.492388547,0.423428033,0.402046152
0.729637137,0.490471685,0.482964976,,,0.180764901,,,,0.705222841,,0.624374331,0.115844547,0.18013913,,0.445892151,0.160722801,,0.833641565,0.819750658,0.383784077,,0.354714811,0.289494806,0.819834657,0.970011576,0.705839595,,0.64277005,1.0,,0.139450743,0.454403078,0.285247827,0.80664013,0.269242141,0.118965555,0.586263821,0.808494825,0.496394313,0.239049592,0.305700328,0.347963508,,,0.346559876,,0.356978657,0.512912447,,,,0.348717225,0.566016217,0.063265332,0.312701479,0.324061267,,,,,0.258422746,,0.465573763,,0.442674918,0.37211111,,,0.969981181,,,,,0.857869181,,,0.468717612,,0.219951831,0.2361378,0.389915939,,0.436919691,,,,0.57214562,,0.574823999,,0.465338617,0.327092746,0.238071686,0.395857657,0.412809724,0.508836568,0.578997604,0.320952334,
0.405248774,,,,,,,,,,,,0.732832346,,,,,,,,,,,,,,0.580180949,,,,,,0.496488483,,,,,,,,0.89919913,0.582067108,,,,,,0.593671163,,,,,,,0.53155565,,,,,,,0.776363173,,,0.937016752,0.67854222,,,,,,,,,,,,0.580180949,,,,0.810476368,,,,,,0.222401353,,,,0.791003653,0.419670542,,,0.432208829,0.145846792,0.449701933,,
0.344362207,0.610983022,0.836583866,0.180764901,,,0.528448669,0.480771168,0.640362075,0.490058366,0.324942857,0.505078398,0.548962769,0.512090079,0.647882448,0.367286439,0.565261523,0.560592179,0.525460403,0.708451633,0.419232679,0.463622289,0.437151521,0.73833628,0.565334511,0.663541399,0.466437367,0.236426989,0.588568163,0.377870674,,0.567521246,0.360291413,0.354693461,0.590130478,0.528953633,0.550633819,0.385924579,0.288404591,0.306702557,0.382361538,0.323584581,0.637055068,0.375098877,,0.507153112,,0.249326206,0.525334156,0.712035521,0.305843704,0.633662259,0.528606745,0.600454881,0.654940236,0.448005626,0.503935103,0.395827519,0.260191262,0.622962917,0.507080193,0.3335473,,0.524332257,,0.303489887,0.540036327,,0.456157279,0.470615158,,,0.359564003,0.427385117,0.571687752,,,0.404519515,0.002725149,0.357208296,0.322199498,0.391835983,,0.36347924,0.356843162,0.459509881,0.269293041,0.232503173,0.334854282,0.240230491,0.155834242,0.620036715,0.234041469,0.257009692,0.719504792,0.479930802,0.532420426,0.523651292,0.297971792,0.364207645
0.193479262,0.423742467,0.629538169,,,0.528448669,,0.881737203,0.740680401,0.63393605,0.247709575,0.656309496,0.172032006,0.481347975,0.514286754,0.175211593,0.572928277,0.534950689,0.757422215,0.44907218,0.234272969,0.611431409,0.315697476,0.489038894,0.6380509,0.855452988,0.287841029,0.089074777,0.331438634,0.443629634,,0.644888108,0.233752288,0.179854254,0.611005931,0.614418936,0.448439973,0.227076847,0.322384137,0.318210605,0.329249675,0.211208719,0.69530277,,,0.519636676,,0.390949048,0.578730233,0.88179338,0.294261062,0.106730003,0.430818493,0.576318624,0.660492348,0.254930152,0.336871962,0.916606868,0.747149834,0.890495488,0.903790986,0.591674047,,0.366810969,,0.202086646,0.518321155,,0.602021424,0.732411856,0.19455541,,,0.895977342,0.451439159,,,0.227871824,,0.289566823,0.307132542,0.171591008,,0.225021278,0.208317985,0.261834644,0.134896241,0.209980024,0.176776995,0.350366977,0.410830084,0.692476491,0.199112194,0.191579543,0.683154039,0.478732581,0.412375609,0.345525408,0.222748826,0.551800616
0.292096843,0.460659052,0.568281758,,,0.480771168,0.881737203,,0.735196965,0.695220419,0.709744974,0.691309313,0.268898606,0.68254776,0.753610182,0.201688208,0.582893526,0.483270829,0.656012079,0.612846125,0.414881848,0.581597711,0.289792142,0.818875177,0.610693457,0.809666467,0.384323987,0.29160943,0.518852932,0.33446252,,0.545046174,0.333398667,0.439387798,0.383696166,0.595626492,0.600859559,0.344874944,0.375142104,0.349922039,0.460641233,0.24499014,0.634021544,,,0.411368038,,0.525761938,0.563292215,0.713542484,0.72383156,0.391310091,0.547848922,0.594871462,0.730456565,0.075689455,0.377319121,,0.462174884,0.956041374,0.406461931,0.118503433,,0.51483692,,0.375844727,0.334387528,,,0.767010854,0.294381703,,,0.270482403,0.549225613,,,0.364844947,,0.173308577,0.282408767,0.230854214,,0.269164926,0.320109675,0.131493628,0.678279491,0.222454846,0.243180724,0.153232786,,0.578755179,0.17981866,0.234020136,0.629625761,0.443154575,0.477864045,0.394075485,0.320322147,0.256749618
0.27576196,0.657698949,0.811806995,,,0.640362075,0.740680401,0.735196965,,0.56548765,0.558229249,0.334642378,0.329771763,0.534766712,0.407429914,0.167867299,0.363920428,0.298460782,0.422008389,0.54447905,0.34507842,0.576682889,0.448941707,0.874709483,0.748503581,0.58272596,0.322011865,0.061108945,0.253591841,0.429474057,,0.485249759,0.254754291,0.141997702,0.94292494,0.568087463,0.50597712,0.220863505,0.437231213,0.375615549,0.374039611,0.3138591,0.7046686,,,0.563516614,,0.326035219,0.561941004,0.527821937,0.373928455,0.385279476,0.542250056,0.661237867,0.565204524,0.077921457,0.601149669,,0.330676244,0.841563591,0.379986113,0.156307089,,0.424425991,,0.306158322,0.56312251,,,0.390612739,,,0.035386006,0.073244163,0.661217457,,,0.417908037,,0.132649642,0.315467833,0.231492398,,0.239262659,0.311559076,0.429948944,0.462395681,0.313797607,0.109453791,0.483617693,,0.595043342,0.267779679,0.28881197,0.699663657,0.567041018,0.501935326,0.338426065,0.249903629,0.397238021
0.434214025,0.549539503,0.488524504,0.705222841,,0.490058366,0.63393605,0.695220419,0.56548765,,0.778331729,0.673190706,0.34508131,0.707114346,0.833408911,0.48503421,0.541595696,0.494913889,0.556412009,0.788474077,0.548592454,0.624090659,0.444032381,0.700999202,0.58977709,0.620874877,0.503677639,0.459393678,0.803132591,0.525484412,,0.645565986,0.4349201,0.52648907,0.831671617,0.717223809,0.566285453,0.540248838,0.522112313,0.269925629,0.527745058,0.438583149,0.647224762,,,0.491782301,,0.454091282,0.449842781,0.603072745,0.645571482,0.153557148,0.403062977,0.476879501,0.572370522,0.385975653,0.571197694,0.668335725,0.606400295,0.111059017,0.250091686,0.359025523,,0.489333273,,0.470516697,0.42018413,,0.830120682,0.630417822,0.707258275,0.692231109,0.242462931,0.5730762,0.593225613,,,0.406572778,,0.315413772,0.287375692,0.331537424,0.08883005,0.301942638,0.523544039,0.401951162,0.411309504,0.328183056,0.39405841,0.321040852,0.298619593,0.581609984,0.381026473,0.379666282,0.662247919,0.497997118,0.477268603,0.492234723,0.414521106,0.519487034
